schemaVersion,recordType,source.name,source.url,content.company,content.date,content.is_remote,content.role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/assistante-chef-de-projet-marketing-fidelisation-deliveroo-plus-alternance-12-mois-paris-106977,Deliveroo,2026-09-06T10:40:14Z,False,Marketing,2026-09-06T13:42:47.626954Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/chargee-onboarding-cdd-6-mois-paris-273764,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626969Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-email-marketing-manager-fitme-421444,Gismart,2026-09-06T10:40:11Z,False,Marketing,2026-09-06T13:42:47.627311Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-billing-manager-fitme-281438,Gismart,2026-09-06T10:40:11Z,False,Other,2026-09-06T13:42:47.627325Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-user-acquisition-manager-radiotech-407234,Gismart,2026-09-06T10:40:11Z,False,Other,2026-09-06T13:42:47.627340Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-creative-marketing-manager-fitme-282873,Gismart,2026-09-06T10:40:11Z,False,Marketing,2026-09-06T13:42:47.627492Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-product-marketing-manager-testora-383033,Gismart,2026-09-06T10:40:11Z,False,Marketing,2026-09-06T13:42:47.627505Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-creative-production-lead-radiotech-185726,Gismart,2026-09-06T10:40:11Z,False,Other,2026-09-06T13:42:47.627521Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-product-manager-radiotech-9082,Gismart,2026-09-06T10:40:11Z,False,Product,2026-09-06T13:42:47.627532Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/gismart/remote-creative-producer-radiotech-456495,Gismart,2026-09-06T10:40:11Z,False,Other,2026-09-06T13:42:47.627547Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/eleve-talent/remote-knit-research-manager-140456,Eleve Talent,2026-09-06T10:40:10Z,False,Other,2026-09-06T13:42:47.627996Z
