schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/deepreach-inc,DeepReach Inc.,6.0,2026-09-06T17:04:11.173751Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mochitv,MOCHI.TV,3.0,2026-09-06T17:04:11.173814Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/alloovium,Alloovium,5.0,2026-09-06T17:04:11.173881Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mosaic-inc,Mosaic,2.0,2026-09-06T17:04:11.173948Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bizmark,Bizmark,2.0,2026-09-06T17:04:11.174010Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/riften,Riften,0.0,2026-09-06T17:04:11.174078Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/buildbox,Buildbox,2.0,2026-09-06T17:04:11.174140Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/realpact,RealPact,2.0,2026-09-06T17:04:11.174207Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/guild,GUILD,2.0,2026-09-06T17:04:11.174237Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/instaplay,Instaplay,4.0,2026-09-06T17:04:11.174305Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/impact-drones,IMPACT Drones,2.0,2026-09-06T17:04:11.174373Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/insurf,Insurf,3.0,2026-09-06T17:04:11.174447Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/jcode,Jcode,1.0,2026-09-06T17:04:11.174474Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lemonlime,LemonLime,5.0,2026-09-06T17:04:11.174542Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/speko,Speko,4.0,2026-09-06T17:04:11.174573Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/synapse-semiconductor,Synapse Semiconductor,2.0,2026-09-06T17:04:11.174643Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/understudy-labs,Understudy Labs,2.0,2026-09-06T17:04:11.174710Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/studio,Studio,2.0,2026-09-06T17:04:11.174774Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bernard,Bernard,9.0,2026-09-06T17:04:11.174843Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/maingen,Maingen,2.0,2026-09-06T17:04:11.174910Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/enact,Enact,2.0,2026-09-06T17:04:11.174936Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rex-inc,Rex,2.0,2026-09-06T17:04:11.174968Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zomma,Zomma,5.0,2026-09-06T17:04:11.174997Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nebula-security,Nebula Security,4.0,2026-09-06T17:04:11.175069Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/palisade,Palisade,1.0,2026-09-06T17:04:11.175094Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/trope,Trope,2.0,2026-09-06T17:04:11.175121Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/parasma,Parasma,1.0,2026-09-06T17:04:11.175189Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/olam-labs,Olam Labs,2.0,2026-09-06T17:04:11.175255Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/egoist-machines,Egoist Machines,2.0,2026-09-06T17:04:11.175330Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/perceptron-ml,Perceptron ML,2.0,2026-09-06T17:04:11.175400Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/erinys,Erinys,3.0,2026-09-06T17:04:11.175467Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/donkey,Donkey,7.0,2026-09-06T17:04:11.175534Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hoplite,Hoplite,2.0,2026-09-06T17:04:11.175603Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/pango,Pango,5.0,2026-09-06T17:04:11.175632Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/torus,Torus,6.0,2026-09-06T17:04:11.175660Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/kebra,Kebra,2.0,2026-09-06T17:04:11.175687Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gitcafe,GitCafe,2.0,2026-09-06T17:04:11.175756Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rindler,Rindler,2.0,2026-09-06T17:04:11.175823Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/proprio-robotics,Proprio Robotics,1.0,2026-09-06T17:04:11.175887Z
