schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/computable,Computable,UNKNOWN,2026-09-06T23:02:49.239772Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/denta,Denta,UNKNOWN,2026-09-06T23:02:49.239783Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/isengard-industries-inc,Isengard Industries Inc,UNKNOWN,2026-09-06T23:02:49.239814Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/moving-atoms,Moving Atoms,UNKNOWN,2026-09-06T23:02:49.239843Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/arbital,Arbital,UNKNOWN,2026-09-06T23:02:49.239872Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/neuromorphic,Neuromorphic,UNKNOWN,2026-09-06T23:02:49.239997Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lato,LATO,UNKNOWN,2026-09-06T23:02:49.240011Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/risklytics,Risklytics,UNKNOWN,2026-09-06T23:02:49.240042Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/daqstra,Daqstra,UNKNOWN,2026-09-06T23:02:49.240071Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tenor,Tenor,UNKNOWN,2026-09-06T23:02:49.240083Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/qlo,Qlo,UNKNOWN,2026-09-06T23:02:49.240094Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/fabraix,Fabraix,UNKNOWN,2026-09-06T23:02:49.240122Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/omanta,Omanta,UNKNOWN,2026-09-06T23:02:49.240151Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rational,Rational,UNKNOWN,2026-09-06T23:02:49.240183Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/vendo,Vendo,UNKNOWN,2026-09-06T23:02:49.240195Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/akon-labs,Akido Labs,UNKNOWN,2026-09-06T23:02:49.240228Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/click,Click,UNKNOWN,2026-09-06T23:02:49.240240Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/whitespace,Whitespace,UNKNOWN,2026-09-06T23:02:49.240268Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/almanac,Almanac,UNKNOWN,2026-09-06T23:02:49.240301Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/ooak-data,Ooak Data,UNKNOWN,2026-09-06T23:02:49.240331Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/bloomy,Bloomy,UNKNOWN,2026-09-06T23:02:49.240360Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/talentpluto,Pluto,UNKNOWN,2026-09-06T23:02:49.240373Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/stratum-industries,Stratum Industries,UNKNOWN,2026-09-06T23:02:49.240403Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/standard-machines,Standard Machines,UNKNOWN,2026-09-06T23:02:49.240434Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/traceforce,Traceforce,UNKNOWN,2026-09-06T23:02:49.240462Z
