schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04086v1,A Non-Formulable Theorem: A Fundamental Limit of Finite Syntactic Systems and Its Consequences for Security and AI,"[""Fabio F. G. Buono""]",https://arxiv.org/abs/2609.04086v1,,,2026-09-03T16:53:22Z,2026-09-06T16:57:19.205128Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04083v1,CORE: Improving Compositional Reasoning in MLLM Embedding via Reranker Distillation,"[""Tingyu Song"", ""Mingxin Li"", ""Yanzhao Zhang"", ""Dingkun Long"", ""Chu Liu"", ""Pengjun Xie"", ""Yilun Zhao"", ""Shu Wu""]",https://arxiv.org/abs/2609.04083v1,https://github.com/Alibaba-NLP/core-emb,2.0,2026-09-03T16:50:29Z,2026-09-06T16:57:19.205150Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04075v1,PatchBench: Evaluating AI Agents for Vulnerability Patching,"[""Chihao Shen"", ""Jiacheng Li"", ""Aastha Mahajan"", ""Jeffery Siyuan Tian"", ""Yonghwi Kwon"", ""Yizheng Chen""]",https://arxiv.org/abs/2609.04075v1,,,2026-09-03T16:44:22Z,2026-09-06T16:57:19.205157Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04071v1,TAP-Path: Task-Adaptive Structural and Token Pruning for Efficient and Trustworthy Pathology Foundation Models,"[""Mehedi Hasan"", ""Ashfak Yeafi"", ""Md Khairul Islam""]",https://arxiv.org/abs/2609.04071v1,https://github.com/Aditharavind/ai-intel-hub,0.0,2026-09-03T16:43:36Z,2026-09-06T16:57:19.205180Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04066v1,Subspace Inference Enables Efficient Active Reward Learning from Preferences,"[""Yutai Zhou"", ""Erdem B\u0131y\u0131k""]",https://arxiv.org/abs/2609.04066v1,,,2026-09-03T16:39:55Z,2026-09-06T16:57:19.205212Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04063v1,Spurious Advantage Hidden in GRPO,"[""Jiamian Wang"", ""Samyadeep Basu"", ""Koustava Goswami"", ""Tong Yu"", ""Zhiqiang Tao""]",https://arxiv.org/abs/2609.04063v1,,,2026-09-03T16:37:31Z,2026-09-06T16:57:19.205221Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04061v1,When Models Edit Too Much: On the Fidelity of Minimal Code Edits,"[""Tongyao Zhu"", ""Wei Hern Lim"", ""Min-Yen Kan""]",https://arxiv.org/abs/2609.04061v1,https://github.com/nreHieW/over-editing,19.0,2026-09-03T16:36:05Z,2026-09-06T16:57:19.205227Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04048v1,Translation as a Decision Space: A Multi-Agent Perspective on Low-Resource Dialect Generation,"[""Hasan Alkhder"", ""Mohammad Abboush"", ""Igor Tchappi"", ""Ahmet Zengin"", ""Amro Najjar""]",https://arxiv.org/abs/2609.04048v1,,,2026-09-03T16:22:18Z,2026-09-06T16:57:19.205239Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04030v1,IRWOZ 2.0: A Large Language Model-driven Dialogue Dataset for Industrial Robot Conversations,"[""Chen Li"", ""Dimitrios Chrysostomou""]",https://arxiv.org/abs/2609.04030v1,https://github.com/JiaHongZ/embodied_intelligence_paper,1.0,2026-09-03T16:08:57Z,2026-09-06T16:57:19.205246Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04028v1,Influence of Extruded Filament Shape on Buildability in 3D Concrete Printing: A Geometry-Informed Deep Learning-FEM Approach,"[""Giacomo Rizzieri"", "" Saif-Ur-Rehman"", ""J\u00f6rg F. Unger"", ""Annika Robens-Radermacher""]",https://arxiv.org/abs/2609.04028v1,,,2026-09-03T16:08:19Z,2026-09-06T16:57:19.205258Z
